Model Initialized
Itr # 0, Loss => 4.781430244445801
Itr # 1, Loss => 4.790709972381592
Itr # 2, Loss => 4.7878265380859375
Itr # 3, Loss => 4.763846397399902
Itr # 4, Loss => 4.635838508605957
Itr # 5, Loss => 4.6431803703308105
Itr # 6, Loss => 4.383817672729492
Itr # 7, Loss => 4.452049732208252
Itr # 8, Loss => 4.438264846801758
Itr # 9, Loss => 4.4834418296813965
Itr # 10, Loss => 4.38440465927124
Itr # 11, Loss => 4.285661220550537
Itr # 12, Loss => 4.3261590003967285
Itr # 13, Loss => 4.200942039489746
Itr # 14, Loss => 4.197010040283203
Itr # 15, Loss => 4.219264030456543
Itr # 16, Loss => 3.972691297531128
Itr # 17, Loss => 4.170341491699219
Itr # 18, Loss => 3.7038497924804688
Itr # 19, Loss => 3.8845632076263428
Itr # 20, Loss => 3.6171140670776367
Itr # 21, Loss => 3.512404203414917
Itr # 22, Loss => 3.442011833190918
Itr # 23, Loss => 3.1433870792388916
Itr # 24, Loss => 2.6762535572052
Itr # 25, Loss => 2.698911666870117
Itr # 26, Loss => 2.206432580947876
Itr # 27, Loss => 1.8008188009262085
Itr # 28, Loss => 1.1181635856628418
Itr # 29, Loss => 0.49466490745544434
Itr # 30, Loss => 0.11297180503606796
Itr # 31, Loss => 0.04547705501317978
Itr # 32, Loss => 0.06222516670823097
Itr # 33, Loss => 0.10280845314264297
Itr # 34, Loss => 0.18381212651729584
Itr # 35, Loss => 0.06753288954496384
Itr # 36, Loss => 0.04402029514312744
Itr # 37, Loss => 0.04571133479475975
Itr # 38, Loss => 0.00415848009288311
Itr # 39, Loss => 0.044194817543029785
Itr # 40, Loss => 0.06730162352323532
Itr # 41, Loss => 0.003389383666217327
Itr # 42, Loss => 0.06943032145500183
Itr # 43, Loss => 0.0029456329066306353
Itr # 44, Loss => 0.03826378658413887
Itr # 45, Loss => 0.044527411460876465
Itr # 46, Loss => 0.02790689468383789
Itr # 47, Loss => 0.0023178246337920427
Itr # 48, Loss => 0.04136209934949875
Itr # 49, Loss => 0.0024559551384299994
